FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Italy
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Jamaica
FAO Major Fishing Area: Pacific, Northwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.69;65.38;Japan
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Kenya
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Kiribati
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Kuwait
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Latvia
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Lebanon
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Liberia
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Lithuania
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Lybia
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Madagascar
FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.08;68.63;Malaysia
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Malaysia
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Maldives
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Malta
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Marshall Islands
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Martinique
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Mauritania
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Mauritius
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Mayotte
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Mexico
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Mexico
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Micronesia
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Monaco
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Montenegro
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Montserrat
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Morocco
FAO Major Fishing Area: Mediterranean and Black Sea (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);37.84;37.5;Morocco
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Mozambique
FAO Major Fishing Area: Indian Ocean, Eastern (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.08;68.63;Myanmar
FAO Major Fishing Area: Atlantic, Southeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);67.65;67.65;Namibia
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Nauru
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Netherlands
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Netherlands
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;New Caledonia
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Northern Mariana Islands
FAO Major Fishing Area: Pacific, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;New Zealand
FAO Major Fishing Area: Atlantic, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);60.34;61.4;Nicaragua
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Nicaragua
FAO Major Fishing Area: Atlantic, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);57.14;57.14;Nigeria
FAO Major Fishing Area: Pacific, Eastern Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);86.67;86.67;Niue
FAO Major Fishing Area: Pacific, Southwest (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);85.71;83.87;Norfolk Island
FAO Major Fishing Area: Atlantic, Northeast (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);73.47;79.31;Norway
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Oman
FAO Major Fishing Area: Indian Ocean, Western (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);66.67;68.29;Pakistan
FAO Major Fishing Area: Pacific, Western Central (14.4.1);14.4.1 Proportion of fish stocks within biologically sustainable levels (not overexploited) (%);82.61;77.55;Palau
