"","X","Country","X2015","X2016","X2017","X2018","X2019","X2020","Function","Subfunction","Indicator","Continent","ideal_state","unit"
"1170",13,"Latvia",98.89374,99.02666,99.15976,99.29301,99.41268,99.4649,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"1171",1,"Lebanon",100.5604,100.9903,101.4203,101.8503,102.2802,102.7102,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"1172",2,"Lebanon",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Asia",100,"% Sus fish stock"
"1173",3,"Lebanon",58.79,58.79,58.79,58.79,58.79,58.79,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"1174",4,"Lebanon",36.25,36.25,36.25,36.25,36.25,36.25,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"1175",5,"Lebanon",8.64,8.64,8.64,8.64,8.64,8.64,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"1176",6,"Lebanon",5.1672223,5.4831238,5.895269,5.7822363,6.0410595,5.7215548,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"1177",7,"Lebanon",65.86,58.86,55.15,51.62,43.82,35.1,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.099,"0.5% compare to 2007 in CO2-eq tonnes"
"1178",8,"Lebanon",25,25,25,25,25,NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Asia",100,"%"
"1179",9,"Lebanon",100,100,100,100,100,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Asia",100,"%"
"1180",10,"Lebanon",51.24642,50.75591,49.43916,49.45936,49.47973,48.99952,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"1181",11,"Lebanon",56.82,62.11,63.19,63.63,62.84,60.79,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia",100,"%"
"1182",12,"Lebanon",24.49,24.11,23.53,24.08,24.23,24.23,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"1183",13,"Lebanon",46.99136,47.17497,47.35857,47.54217,47.7,47.7,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"1184",1,"Lesotho",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"1185",2,"Lesotho",2.57,2.57,2.57,2.57,2.57,2.57,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"1186",3,"Lesotho",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"1187",4,"Lesotho",14.58,14.58,14.58,14.58,14.58,14.58,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"1188",5,"Lesotho",1.3061102,1.2982678,1.388374,1.3508683,1.3223944,1.2865485,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"1189",6,"Lesotho",0.75,0.71,0.7,0.63,0.56,0.46,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.01,"0.5% compare to 2007 in CO2-eq tonnes"
"1190",7,"Lesotho",16.65,16.65,16.65,16.65,16.65,100,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"1191",8,"Lesotho",0,0,0,0,0,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa",100,"%"
"1192",9,"Lesotho",57.19263,57.19302,57.25366,57.39727,57.7351,57.7244,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"1193",10,"Lesotho",17.65,17.42,17.75,17.8,17.6,17.6,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"1194",11,"Lesotho",56.5189,56.78549,57.05422,57.32742,57.60472,57.88693,"Human health and welfare","human health","Drinking water contamination","Africa",100,"% without E.coli"
"1195",12,"Lesotho",50,50,50,50,50,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"1196",1,"Liberia",91.45095,91.09474,90.73853,90.38232,90.02611,89.6699,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"1197",2,"Liberia",57.14,57.14,57.14,57.14,57.14,57.14,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"1198",3,"Liberia",0.26,0.26,0.26,0.26,0.26,0.26,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"1199",4,"Liberia",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"1200",5,"Liberia",0.83,0.83,0.83,0.83,0.83,0.83,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"1201",6,"Liberia",0.8642586,0.9049675,0.8783856,0.9141627,0.9263157,0.9224043,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"1202",7,"Liberia",3.13,2.84,2.31,1.78,0.78,1.58,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.0095,"0.5% compare to 2007 in CO2-eq tonnes"
"1203",8,"Liberia",NA,NA,NA,NA,NA,66.65,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"1204",9,"Liberia",74.29028,74.06544,73.81275,73.54605,73.25414,72.95029,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"1205",10,"Liberia",79.31,83.6,83.84,75.96,70.57,69.83,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"1206",11,"Liberia",37.68,35.72,35.98,35.68,35.8,35.8,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"1207",1,"Libya",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"1208",2,"Libya",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"1209",3,"Libya",817.14,817.14,817.14,817.14,817.14,817.14,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"1210",4,"Libya",925,925,925,925,925,925,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"1211",5,"Libya",0.42,0.42,0.42,0.42,0.42,0.42,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"1212",6,"Libya",12.1953244,11.9691783,13.5793727,14.2086713,14.4283953,10.8046831,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"1213",7,"Libya",119.81,118.36,117.68,76.75,76.65,75,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.1975,"0.5% compare to 2007 in CO2-eq tonnes"
"1214",8,"Libya",99.13328,99.11274,99.09856,99.07616,99.06483,99.04803,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"1215",9,"Libya",67.72,65.85,64.83,66.48,63.88,64.69,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"1216",10,"Libya",29.07,30.07,28.42,30.41,29.84,29.84,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"1217",1,"Liechtenstein",102.7607,102.7607,102.7607,102.7607,102.7607,102.7607,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"1218",2,"Liechtenstein",2.08,2.08,2.08,2.08,2.08,2.08,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"1219",3,"Liechtenstein",0,0,0,0,0,0,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",0,"0.5% compare to 2007 in CO2-eq tonnes"
"1220",4,"Liechtenstein",77.8,77.8,77.8,77.8,77.8,77.8,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"1221",5,"Liechtenstein",100,100,100,100,100,100,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Europe",100,"%"
"1222",6,"Liechtenstein",68.0465,67.82505,67.60655,67.38462,67.02123,66.74785,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"1223",7,"Liechtenstein",100,100,100,100,100,100,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"1224",1,"Lithuania",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"1225",2,"Lithuania",73.47,73.47,79.31,79.31,79.31,79.31,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"1226",3,"Lithuania",2.75,2.22,1.87,1.83,1.83,1.83,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"1227",4,"Lithuania",12.72727,12.72727,12.72727,13.63636,13.63636,13.63636,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"1228",5,"Lithuania",0.19,0.19,0.19,0.19,0.19,0.19,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"1229",6,"Lithuania",8.1177911,8.145799,8.3488236,8.3056989,8.4735696,8.3704603,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"1230",7,"Lithuania",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"1231",8,"Lithuania",99.65,99.65,99.65,99.65,99.65,98.85,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Europe",100,"%"
"1232",9,"Lithuania",66.31603,66.17533,66.05617,65.89913,65.76593,65.70913,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"1233",10,"Lithuania",71.59,69.74,69.5,69.22,70.83,70.69,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"1234",11,"Lithuania",11.44,10.3,9.91,11.12,10.37,10.37,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"1235",12,"Lithuania",93.66101,95.89729,97.54207,97.99053,98.00147,98.01335,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"1236",1,"Luxembourg",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"1237",2,"Luxembourg",3.71,3.68,3.78,4.33,4.09,3.96,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"1238",3,"Luxembourg",37.5,25,25,37.5,25,25,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"1239",4,"Luxembourg",0.77,0.77,0.77,0.77,0.77,0.77,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"1240",5,"Luxembourg",18.0925116,17.2594527,17.073522,17.23352,17.1553925,14.3778586,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"1241",6,"Luxembourg",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"1242",7,"Luxembourg",52.80843,52.6013,52.50183,52.38138,52.26697,52.00821,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"1243",8,"Luxembourg",10.45,9.75,9.84,9.71,8.89,8.89,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"1244",9,"Luxembourg",99.68469,99.66564,99.64767,99.63069,99.63344,99.63606,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"1245",1,"Madagascar",91.69841,91.60154,91.50468,91.40708,91.31021,91.21335,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"1246",2,"Madagascar",66.67,66.67,68.29,68.29,68.29,68.29,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"1247",3,"Madagascar",11.26,11.26,11.26,11.26,11.26,11.26,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"1248",4,"Madagascar",0.03636364,0.03636364,0.03636364,0.03636364,0.03636364,0.03636364,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"1249",5,"Madagascar",7.92,7.92,7.92,7.92,7.92,7.92,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"1250",6,"Madagascar",1.3025191,1.2932884,1.2535602,1.3483252,1.3501627,1.3219405,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"1251",7,"Madagascar",14.03,11.83,10.73,10.4,9.63,5.5,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.0105,"0.5% compare to 2007 in CO2-eq tonnes"
"1252",8,"Madagascar",94.35,94.35,94.35,94.35,94.35,94.35,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"1253",9,"Madagascar",81.6,81.6,81.6,81.6,81.6,81.6,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Africa",100,"%"
"1254",10,"Madagascar",57.41535,57.38393,57.32656,57.29253,57.24373,57.19616,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"1255",11,"Madagascar",84.26,80.52,81.24,80.51,79.09,78.74,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"1256",12,"Madagascar",16.42,16.52,15.86,16.14,16.02,16.02,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"1257",13,"Madagascar",23.93146,24.43979,24.95186,25.4677,25.98642,26.50893,"Human health and welfare","human health","Drinking water contamination","Africa",100,"% without E.coli"
"1258",14,"Madagascar",50,50,37.5,37.5,37.5,37.5,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"1259",1,"Malawi",70.86453,69.65055,68.43657,67.22259,66.00861,64.79464,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"1260",2,"Malawi",17.5,17.5,17.5,17.5,17.5,17.5,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"1261",3,"Malawi",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"1262",4,"Malawi",18.57,18.57,18.57,18.57,18.57,18.57,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"1263",5,"Malawi",0.6509301,0.6661642,0.6851178,0.7414592,0.7597105,0.7647314,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"1264",6,"Malawi",8.91,8.23,7.08,5.57,4.94,3.33,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.014,"0.5% compare to 2007 in CO2-eq tonnes"
"1265",7,"Malawi",67.53402,67.48813,67.42807,67.41205,67.33276,67.24905,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"1266",8,"Malawi",18.8,18.58,18.48,18.61,18.57,18.57,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"1267",9,"Malawi",25,25,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"1268",1,"Malaysia",94.82804,94.0992,93.85512,93.61055,93.36647,93.1219,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"1269",2,"Malaysia",77.845,77.845,73.09,73.09,73.09,73.09,"Source","renewable ressources","Proportion of fish stocks not overexploited","Asia",100,"% Sus fish stock"
"1270",3,"Malaysia",3.19,3.36,3.44,3.44,3.44,3.44,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"1271",4,"Malaysia",0.140625,0.140625,0.140625,0.140625,0.140625,0.140625,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"1272",5,"Malaysia",1.95,1.95,1.95,1.95,1.95,1.95,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"1273",6,"Malaysia",10.4381358,10.1727746,9.7243366,10.167434,10.3253373,9.926367,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"1274",7,"Malaysia",418.5,318.62,235.78,248.34,214.2,228.41,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",2.0685,"0.5% compare to 2007 in CO2-eq tonnes"
"1275",8,"Malaysia",78.3522,78.27176,78.19768,78.13572,78.08688,78.0294,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"1276",9,"Malaysia",78.9,76.38,75.72,75.03,74.57,74.42,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia",100,"%"
"1277",10,"Malaysia",21.44,22.89,20.38,20.5,21.52,21.52,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"1278",11,"Malaysia",97.26919,97.31187,97.35462,97.39752,97.44049,97.45445,"Human health and welfare","human health","Drinking water contamination","Asia",100,"% without E.coli"
"1279",12,"Malaysia",62.5,62.5,62.5,62.5,62.5,50,"Human health and welfare","landscape and amenity","status of world heritage sites","Asia",100,"% Good status"
"1280",1,"Maldives",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Asia",100,"%"
"1281",2,"Maldives",66.67,66.67,68.29,68.29,68.29,68.29,"Source","renewable ressources","Proportion of fish stocks not overexploited","Asia",100,"% Sus fish stock"
"1282",3,"Maldives",15.67,15.67,15.67,15.67,15.67,15.67,"Source","renewable ressources","Surfacewater Stress","Asia",25,"% of stress"
"1283",4,"Maldives",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Asia",25,"%"
"1284",5,"Maldives",1.23,1.23,1.23,1.23,1.23,1.23,"Source","non-renewables ressources","area with tolerable erosion","Asia",2,"Tonnes/hectare/year"
"1285",6,"Maldives",3.8714763,3.9065815,3.8340794,4.1704849,4.6282068,4.5692951,"Sink","global System","CO2 emissions [tonnes per capita]","Asia",2.88,"tonnes per year per capita"
"1286",7,"Maldives",2.45,2.4,2.4,1.21,1.21,0.09,"Sink","global System","Consumption of HCFC in ODP per capita","Asia",0.022,"0.5% compare to 2007 in CO2-eq tonnes"
"1287",8,"Maldives",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Asia",100,"%"
"1288",9,"Maldives",82.74,82.6,82.48,82.35,82.23,82.11,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Asia",100,"%"
"1289",10,"Maldives",12.23,13.66,12.52,12.47,13,13,"Human health and welfare","human health","Concentrations of PM2.5","Asia",5,"µg/m3"
"1290",1,"Mali",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"1291",2,"Mali",8,8,8,8,8,8,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"1292",3,"Mali",0.3,0.3,0.3,0.3,0.3,0.3,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"1293",4,"Mali",2.05,2.05,2.05,2.05,2.05,2.05,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"1294",5,"Mali",1.898397,1.9996823,2.0556196,2.0935084,2.1071798,2.0980005,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"1295",6,"Mali",10.12,9.63,9.08,9.08,7.54,7.54,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.053,"0.5% compare to 2007 in CO2-eq tonnes"
"1296",7,"Mali",NA,NA,NA,NA,NA,38.9,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Africa",100,"%"
"1297",8,"Mali",86.80727,86.77157,86.72879,86.69773,86.66238,86.62956,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"1298",9,"Mali",40.77,40.08,40.34,39.82,38.55,38.55,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"1299",10,"Mali",25,25,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"1300",1,"Malta",100,108.5714,120,131.4286,131.4286,131.4286,"Source","renewable ressources","state of forest reccources","Europe",100,"%"
"1301",2,"Malta",37.84,37.84,37.5,37.5,37.5,37.5,"Source","renewable ressources","Proportion of fish stocks not overexploited","Europe",100,"% Sus fish stock"
"1302",3,"Malta",82.77,82.97,91.09,84.62,81,81.86,"Source","renewable ressources","Surfacewater Stress","Europe",25,"% of stress"
"1303",4,"Malta",80,80,80,80,80,80,"Source","renewable ressources","Groundwater stress","Europe",25,"%"
"1304",5,"Malta",5.9,5.9,5.9,5.9,5.9,5.9,"Source","non-renewables ressources","area with tolerable erosion","Europe",2,"Tonnes/hectare/year"
"1305",6,"Malta",4.8493323,4.087188,4.3558063,4.2583866,4.2958243,4.0157217,"Sink","global System","CO2 emissions [tonnes per capita]","Europe",2.88,"tonnes per year per capita"
"1306",7,"Malta",-53.48,-37.31,-26.7,-40.28,-25,-28.45,"Sink","global System","Consumption of HCFC in ODP per capita","Europe",5.437,"0.5% compare to 2007 in CO2-eq tonnes"
"1307",8,"Malta",68.18931,68.17955,68.17117,68.16047,68.14862,68.21693,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Europe",100,"%"
"1308",9,"Malta",67.59,65,64.92,64.57,64.24,64.82,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Europe",100,"%"
"1309",10,"Malta",13.85,13.27,12.6,13.79,12.93,12.93,"Human health and welfare","human health","Concentrations of PM2.5","Europe",5,"µg/m3"
"1310",11,"Malta",100,100,100,100,100,100,"Human health and welfare","human health","Drinking water contamination","Europe",100,"% without E.coli"
"1311",1,"Marshall Islands",100,100,100,100,100,100,"Source","renewable ressources","state of forest reccources","Oceania",100,"%"
"1312",2,"Marshall Islands",82.61,82.61,77.55,77.55,77.55,77.55,"Source","renewable ressources","Proportion of fish stocks not overexploited","Oceania",100,"% Sus fish stock"
"1313",3,"Marshall Islands",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Oceania",25,"%"
"1314",4,"Marshall Islands",0.67,0.67,0.67,0.67,0.67,0.67,"Source","non-renewables ressources","area with tolerable erosion","Oceania",2,"Tonnes/hectare/year"
"1315",5,"Marshall Islands",0.08,0,0,0,0,0,"Sink","global System","Consumption of HCFC in ODP per capita","Oceania",0.001,"0.5% compare to 2007 in CO2-eq tonnes"
"1316",6,"Marshall Islands",100,100,100,100,100,NA,"Sink","critical ecosystems","Proportion of surface water in good chemical status","Oceania",100,"%"
"1317",7,"Marshall Islands",100,100,100,100,100,NA,"Sink","critical ecosystems","Proportion of ground water in good chemical status","Oceania",100,"%"
"1318",8,"Marshall Islands",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Oceania",100,"%"
"1319",9,"Marshall Islands",87.58,87.67,86.8,87.4,87.42,87.33,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Oceania",100,"%"
"1320",10,"Marshall Islands",7.1,7.27,7.15,7.14,7.21,7.21,"Human health and welfare","human health","Concentrations of PM2.5","Oceania",5,"µg/m3"
"1321",1,"Martinique",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America",100,"%"
"1322",2,"Martinique",60.34,60.34,61.4,61.4,61.4,61.4,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"1323",3,"Martinique",NA,NA,NA,NA,NA,NA,"Sink","global System","CO2 emissions [tonnes per capita]","America",2.88,"tonnes per year per capita"
"1324",4,"Martinique",95.30977,95.22568,95.13879,95.04679,94.95214,94.95992,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"1325",1,"Mauritania",72.25669,71.10072,69.95325,68.78453,67.63706,66.46834,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"1326",2,"Mauritania",57.14,57.14,57.14,57.14,57.14,57.14,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"1327",3,"Mauritania",13.25,13.25,13.25,13.25,13.25,13.25,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"1328",4,"Mauritania",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"1329",5,"Mauritania",1.95,1.95,1.95,1.95,1.95,1.95,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"1330",6,"Mauritania",3.3845685,3.3467333,3.5570602,3.5252122,3.5405326,3.4835477,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"1331",7,"Mauritania",18.43,18.15,15.8,15.05,13.91,13.19,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.007,"0.5% compare to 2007 in CO2-eq tonnes"
"1332",8,"Mauritania",88.37574,88.38971,88.4073,88.42627,88.44843,88.46952,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"1333",9,"Mauritania",75.32,73.94,73.5,71.78,71.76,71.16,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"1334",10,"Mauritania",43.68,42.43,43.42,42.58,41.98,41.98,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"1335",11,"Mauritania",25,25,25,25,25,25,"Human health and welfare","landscape and amenity","status of world heritage sites","Africa",100,"% Good status"
"1336",1,"Mauritius",93.06055,93.03625,93.91097,94.00816,94.10536,94.20255,"Source","renewable ressources","state of forest reccources","Africa",100,"%"
"1337",2,"Mauritius",66.67,66.67,68.29,68.29,68.29,68.29,"Source","renewable ressources","Proportion of fish stocks not overexploited","Africa",100,"% Sus fish stock"
"1338",3,"Mauritius",22.25,22.54,22.17,21.48,21.63,22.06,"Source","renewable ressources","Surfacewater Stress","Africa",25,"% of stress"
"1339",4,"Mauritius",16.85393,16.85393,15.73034,16.85393,16.85393,16.85393,"Source","renewable ressources","Groundwater stress","Africa",25,"%"
"1340",5,"Mauritius",24.83,24.83,24.83,24.83,24.83,24.83,"Source","non-renewables ressources","area with tolerable erosion","Africa",2,"Tonnes/hectare/year"
"1341",6,"Mauritius",4.4603997,4.5443026,4.7363256,4.7232145,4.8191807,4.5820674,"Sink","global System","CO2 emissions [tonnes per capita]","Africa",2.88,"tonnes per year per capita"
"1342",7,"Mauritius",6.79,6.04,5.84,6.84,4.75,2.03,"Sink","global System","Consumption of HCFC in ODP per capita","Africa",0.043,"0.5% compare to 2007 in CO2-eq tonnes"
"1343",8,"Mauritius",50.65767,50.60588,50.55128,50.49869,50.44622,50.43545,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","Africa",100,"%"
"1344",9,"Mauritius",83.14,83.2,82.86,77.12,74.47,74.48,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","Africa",100,"%"
"1345",10,"Mauritius",10.75,10.73,10.35,10.45,10.48,10.48,"Human health and welfare","human health","Concentrations of PM2.5","Africa",5,"µg/m3"
"1346",1,"Mayotte",NA,NA,NA,NA,NA,NA,"Source","renewable ressources","state of forest reccources","America",100,"%"
"1347",2,"Mayotte",66.67,66.67,68.29,68.29,68.29,68.29,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
"1348",3,"Mayotte",NA,NA,NA,NA,NA,NA,"Life support","ecosystem health","Terrestrial habitats in favourable conservation status","America",100,"%"
"1349",4,"Mayotte",89.08,88.93,88.86,88.79,88.71,88.63,"Life support","ecosystem health","Aquatic habitats in favourable conservation status","America",100,"%"
"1350",5,"Mayotte",95.26024,94.87424,94.4889,94.10421,93.72017,93.44991,"Human health and welfare","human health","Drinking water contamination","America",100,"% without E.coli"
"1351",1,"Mexico",94.25937,94.07776,93.89629,93.71468,93.53321,93.3516,"Source","renewable ressources","state of forest reccources","America",100,"%"
"1352",2,"Mexico",73.505,73.505,74.035,74.035,74.035,74.035,"Source","renewable ressources","Proportion of fish stocks not overexploited","America",100,"% Sus fish stock"
